Test One

April-01-19,5:26:59 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:26:59 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         0.259687,        -0.812430,         8.739200, -0.009503,         0.000878, -0.004312,         0.010286
        0.008888,         0.467436,        -0.812430,         8.738227, -0.009503,         0.000878, -0.004312,         0.009962
        0.017776,         0.467436,        -0.813079,         8.727845, -0.009503,         0.000230, -0.004312,         0.009962
        0.028886,         0.259687,        -0.812430,         8.739200, -0.009503,         0.000554, -0.003988,         0.010286
        0.039996,         0.467436,        -0.812430,         8.738876, -0.009503,         0.000554, -0.003988,         0.010286
        0.051106,         0.882935,        -0.813079,         8.730765, -0.009503,         0.000230, -0.003988,         0.009962
        0.064438,         2.960428,        -0.812754,         8.728818, -0.009503,         0.000878, -0.004312,         0.010286
        0.075548,        72.140961,        -0.812754,         8.739200, -0.009179,         0.000230, -0.004312,         0.010286
        0.088880,       258.284393,        -0.813079,         8.728818, -0.009503,         0.000554, -0.003988,         0.009962
        0.099990,       449.206024,        -0.812754,         8.727845, -0.009503,         0.000230, -0.004312,         0.010286
        0.113322,       644.074951,        -0.812430,         8.739525, -0.009503,         0.000554, -0.004312,         0.010286
        0.126654,       829.409180,        -0.812754,         8.728494, -0.009503,         0.000230, -0.003988,         0.009962
        0.137764,       217.357758,        -0.812430,         8.739525, -0.009503,         0.000230, -0.003988,         0.010286
        0.151096,        20.411373,        -0.812430,         8.740174, -0.009179,         0.000554, -0.003988,         0.010286
        0.164428,         1.298433,        -0.812430,         8.729467, -0.009503,         0.000230, -0.004312,         0.010286
        0.175538,        -1.584089,        -0.812105,         8.729467, -0.009503,         0.000554, -0.003988,         0.009962
        0.188870,        -2.622836,        -0.812105,         8.740174, -0.009179,         0.000554, -0.003988,         0.010286
        0.202202,        -3.453833,        -0.812754,         8.740822, -0.009179,         0.000230, -0.004312,         0.009962
        0.215534,        -4.077081,        -0.812754,         8.732063, -0.009503,         0.000230, -0.004312,         0.010286
