Test One

April-01-19,3:25:22 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,3:25:22 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,       -22.878397,        -0.813727,         8.646736, -0.009503,         0.000878, -0.003339,         0.010286
        0.008888,        39.212688,        -0.814376,         8.636354, -0.009827,         0.000878, -0.003663,         0.010611
        0.017776,       109.224220,        -0.814701,         8.647710, -0.009503,         0.000878, -0.003663,         0.010611
        0.031108,       156.175583,        -0.813727,         8.637652, -0.009827,         0.000554, -0.003663,         0.010611
        0.042218,       202.919174,        -0.813727,         8.637328, -0.009503,         0.000554, -0.003988,         0.010611
        0.057772,       258.596008,        -0.813727,         8.637652, -0.009827,         0.000554, -0.003663,         0.010611
        0.071104,       318.427826,        -0.813403,         8.650305, -0.009827,         0.000554, -0.003663,         0.010611
        0.084436,       372.650391,        -0.813727,         8.638950, -0.009503,         0.000878, -0.004312,         0.010286
        0.099990,       255.687515,        -0.813727,         8.650630, -0.009827,         0.000878, -0.003663,         0.010935
        0.115544,       167.186295,        -0.814052,         8.640572, -0.009503,         0.000554, -0.003988,         0.010611
        0.128876,        76.607574,        -0.813727,         8.640572, -0.009827,         0.000878, -0.003663,         0.010286
        0.144430,        60.195374,        -0.813727,         8.652252, -0.009503,         0.000878, -0.003663,         0.010935
        0.159984,        49.184658,        -0.813727,         8.644790, -0.009503,         0.000878, -0.003663,         0.010611
        0.173316,        34.018955,        -0.814052,         8.640572, -0.009503,         0.000878, -0.003663,         0.010286
        0.188870,        25.916731,        -0.814052,         8.651603, -0.009503,         0.001203, -0.003663,         0.010935
        0.204424,        23.631489,        -0.813727,         8.652576, -0.009179,         0.000554, -0.003339,         0.011260
        0.217756,        21.553995,        -0.814376,         8.640248, -0.009827,         0.000878, -0.003663,         0.010286
        0.233310,        13.659520,        -0.814052,         8.651603, -0.009503,         0.000878, -0.003988,         0.010935
        0.248864,        15.737014,        -0.813727,         8.651927, -0.009503,         0.001203, -0.003339,         0.010935
