Test One

April-02-19,9:42:04 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,9:42:04 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -1.064715,        -0.808861,         8.733036, -0.009827,         0.000878, -0.004312,         0.010611
        0.008888,        -0.649217,        -0.808861,         8.732712, -0.009503,         0.000878, -0.003988,         0.010611
        0.019998,        -0.025969,        -0.809186,         8.722005, -0.010152,         0.000878, -0.003988,         0.010286
        0.028886,         0.311624,        -0.809186,         8.721681, -0.009827,         0.000554, -0.003988,         0.010611
        0.042218,         0.311624,        -0.809186,         8.733036, -0.009503,         0.000878, -0.003988,         0.010611
        0.053328,         2.389117,        -0.809834,         8.722005, -0.010152,         0.000878, -0.003988,         0.010611
        0.066660,       194.972763,        -0.809186,         8.733036, -0.009503,         0.000878, -0.003663,         0.010611
        0.079992,       579.724548,        -0.809510,         8.733036, -0.009503,         0.000554, -0.004312,         0.010935
        0.093324,      1015.772156,        -0.809186,         8.732712, -0.010152,         0.000878, -0.004312,         0.010935
        0.106656,      1442.798462,        -0.809186,         8.733036, -0.009503,         0.000878, -0.003663,         0.010935
        0.119988,      1794.418945,        -0.809510,         8.722654, -0.009827,         0.000878, -0.003988,         0.010611
        0.135542,       969.053345,        -0.809510,         8.722654, -0.010152,         0.000554, -0.004312,         0.010611
        0.148874,       111.665276,        -0.809510,         8.734009, -0.009827,         0.000878, -0.004312,         0.010935
        0.162206,        12.568836,        -0.809510,         8.733685, -0.009503,         0.000878, -0.003988,         0.010935
        0.175538,        -1.480214,        -0.809510,         8.722978, -0.009827,         0.001203, -0.003988,         0.010935
        0.191092,        -4.596455,        -0.809510,         8.723627, -0.010152,         0.000554, -0.003663,         0.011260
