Test One

April-01-19,5:53:31 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:53:31 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         1.012778,        -0.815025,         8.741471, -0.008854,         0.000554, -0.004312,         0.009638
        0.011110,         1.636026,        -0.814701,         8.741796, -0.009179,         0.000230, -0.003988,         0.009638
        0.019998,         1.843776,        -0.814701,         8.741796, -0.008854,         0.000230, -0.003988,         0.009962
        0.028886,         2.051525,        -0.815025,         8.751204, -0.008854,        -0.000095, -0.003988,         0.010611
        0.039996,         2.467024,        -0.815025,         8.751529, -0.009503,        -0.000095, -0.003988,         0.009962
        0.051106,         3.921269,        -0.814376,         8.752502, -0.009179,        -0.000095, -0.003988,         0.009962
        0.062216,         5.791013,        -0.814701,         8.752826, -0.009179,         0.000230, -0.003988,         0.010286
        0.073326,        44.016895,        -0.814701,         8.752502, -0.008854,         0.000554, -0.003663,         0.009962
        0.086658,       178.222977,        -0.814701,         8.742120, -0.009503,         0.000230, -0.003988,         0.009962
        0.097768,       373.507355,        -0.815025,         8.752502, -0.008854,         0.000554, -0.003988,         0.009962
        0.108878,       606.602112,        -0.815025,         8.752178, -0.009179,         0.000878, -0.003988,         0.009962
        0.122210,       896.721130,        -0.815025,         8.742769, -0.008854,         0.000554, -0.003663,         0.009638
        0.133320,      1203.262085,        -0.815025,         8.753800, -0.009503,         0.000230, -0.003988,         0.009962
        0.144430,      1504.885254,        -0.815349,         8.743418, -0.009179,         0.000230, -0.003988,         0.009962
        0.157762,      1749.134521,        -0.815349,         8.744067, -0.009503,         0.000230, -0.004312,         0.009638
        0.168872,      1212.277954,        -0.815025,         8.753800, -0.009179,         0.000230, -0.003988,         0.009638
        0.182204,       111.327682,        -0.815349,         8.744067, -0.009179,        -0.000095, -0.003988,         0.009638
        0.193314,        15.347484,        -0.815025,         8.745040, -0.009503,         0.000230, -0.004312,         0.009638
        0.206646,         4.336768,        -0.814701,         8.750555, -0.009179,         0.000554, -0.003663,         0.010286
        0.217756,         1.843776,        -0.815025,         8.743093, -0.008854,         0.000230, -0.004312,         0.009962
        0.231088,         0.597279,        -0.814701,         8.753151, -0.008854,         0.000230, -0.004312,         0.010286
        0.244420,        -0.207749,        -0.815349,         8.742120, -0.008854,         0.000230, -0.003988,         0.009962
        0.255530,        -0.830997,        -0.814701,         8.751853, -0.008854,        -0.000095, -0.003988,         0.009962
        0.268862,        -1.454245,        -0.815025,         8.741471, -0.009179,         0.000554, -0.003988,         0.010286
        0.279972,        -2.077493,        -0.815025,         8.740822, -0.009179,         0.000554, -0.003988,         0.009962
        0.293304,        -2.700742,        -0.814701,         8.751204, -0.008854,         0.000878, -0.003988,         0.009638
        0.304414,        -3.116240,        -0.814701,         8.740498, -0.009179,         0.000230, -0.004312,         0.009962
