Test One

April-02-19,10:46:36 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,10:46:36 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -0.129843,        -0.812105,         8.752178, -0.010152,         0.000878, -0.003663,         0.010611
        0.008888,        -0.129843,        -0.813079,         8.740822, -0.010152,         0.001203, -0.003988,         0.010611
        0.019998,         0.155812,        -0.812754,         8.750231, -0.010476,         0.001203, -0.004312,         0.010611
        0.033330,         0.155812,        -0.812754,         8.741147, -0.010476,         0.000878, -0.004312,         0.010611
        0.044440,         0.155812,        -0.812754,         8.741471, -0.010476,         0.000878, -0.003988,         0.010286
        0.053328,         0.363561,        -0.812754,         8.739525, -0.010476,         0.000878, -0.003988,         0.010611
        0.064438,         0.571311,        -0.812754,         8.750231, -0.010152,         0.000554, -0.003988,         0.010611
        0.075548,         0.779060,        -0.813079,         8.749582, -0.010476,         0.000878, -0.003663,         0.010611
        0.086658,         1.817807,        -0.813079,         8.750231, -0.010152,         0.000878, -0.003988,         0.010611
        0.097768,         2.441055,        -0.812754,         8.749258, -0.010152,         0.000878, -0.003988,         0.010611
        0.108878,         2.856554,        -0.813403,         8.740174, -0.009827,         0.000878, -0.003663,         0.010611
        0.117766,         3.687551,        -0.812754,         8.739525, -0.010476,         0.000878, -0.003988,         0.010286
        0.128876,        32.772461,        -0.813079,         8.740174, -0.010476,         0.000878, -0.003988,         0.009962
        0.139986,       118.365196,        -0.812754,         8.750231, -0.010152,         0.000878, -0.004312,         0.010611
        0.151096,       266.490479,        -0.812754,         8.750555, -0.010152,         0.000878, -0.003988,         0.010611
        0.162206,       451.595154,        -0.813079,         8.750880, -0.010476,         0.000878, -0.003663,         0.010611
        0.173316,       640.647034,        -0.812754,         8.751204, -0.010152,         0.000878, -0.003988,         0.010611
        0.184426,       824.081604,        -0.813079,         8.741147, -0.010152,         0.000878, -0.004312,         0.010935
        0.195536,       997.842773,        -0.813079,         8.741147, -0.010476,         0.000878, -0.004312,         0.010286
        0.206646,       378.675140,        -0.813079,         8.741471, -0.010152,         0.000878, -0.004312,         0.010286
        0.217756,        44.614174,        -0.813727,         8.741147, -0.010152,         0.000554, -0.004637,         0.010611
        0.228866,         9.504533,        -0.813079,         8.741471, -0.010152,         0.000878, -0.003988,         0.010611
        0.239976,         5.141797,        -0.812430,         8.751529, -0.010152,         0.000878, -0.003988,         0.010935
        0.251086,         4.518548,        -0.813079,         8.741147, -0.010152,         0.000878, -0.004312,         0.010935
        0.257752,         4.310799,        -0.812754,         8.740498, -0.010152,         0.000878, -0.004312,         0.010611
