Test One

April-02-19,10:05:14 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,10:05:14 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.006666,         0.415499,        -0.810808,         8.724601, -0.010152,         0.000878, -0.004312,         0.010611
        0.015554,         0.623248,        -0.810483,         8.735307, -0.010152,         0.001203, -0.003663,         0.010611
        0.026664,         0.830997,        -0.810808,         8.734334, -0.010152,         0.000878, -0.003663,         0.010611
        0.039996,         0.623248,        -0.810808,         8.724601, -0.009827,         0.000554, -0.003988,         0.010611
        0.053328,         1.038747,        -0.810483,         8.724276, -0.010152,         0.001527, -0.004312,         0.010286
        0.066660,         1.038747,        -0.810483,         8.735631, -0.010152,         0.000878, -0.004312,         0.010611
        0.079992,         1.038747,        -0.810808,         8.734658, -0.010152,         0.000878, -0.004312,         0.010611
        0.095546,         2.492992,        -0.810808,         8.724276, -0.010152,         0.000878, -0.003988,         0.010286
        0.108878,         3.116240,        -0.810483,         8.734334, -0.010152,         0.000878, -0.003988,         0.010611
        0.124432,         4.778235,        -0.810808,         8.736929, -0.010152,         0.001203, -0.003988,         0.010611
        0.137764,        34.694141,        -0.810808,         8.724601, -0.010152,         0.000878, -0.003663,         0.010286
        0.153318,       108.237411,        -0.810808,         8.735631, -0.009827,         0.000878, -0.003988,         0.011260
        0.168872,       359.406372,        -0.811132,         8.725574, -0.010476,         0.000878, -0.004312,         0.010611
        0.182204,       669.991638,        -0.811132,         8.736929, -0.009827,         0.001203, -0.003988,         0.010286
        0.197758,      1016.694214,        -0.811132,         8.736605, -0.010152,         0.000878, -0.003663,         0.010611
        0.213312,      1377.330688,        -0.810808,         8.726547, -0.010152,         0.000878, -0.004312,         0.010611
        0.226644,      1733.868896,        -0.810808,         8.736929, -0.009827,         0.000878, -0.003663,         0.010611
        0.242198,      1069.150391,        -0.811132,         8.735631, -0.010152,         0.001203, -0.003663,         0.010611
        0.257752,       121.948868,        -0.810808,         8.727196, -0.010152,         0.000554, -0.004312,         0.010611
        0.273306,        15.165703,        -0.810808,         8.727196, -0.010152,         0.000554, -0.004312,         0.010611
        0.286638,         1.038747,        -0.811456,         8.726547, -0.010152,         0.000878, -0.003988,         0.010611
        0.297748,        -1.817807,        -0.810808,         8.723627, -0.009827,         0.000878, -0.004637,         0.010286
        0.299970,        -2.856554,        -0.810483,         8.736605, -0.010476,         0.000878, -0.003663,         0.010611
