Test One

April-01-19,5:59:23 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:59:23 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         0.103875,        -0.815025,         8.752502, -0.009179,         0.000554, -0.004312,         0.009962
        0.013332,         0.311624,        -0.815349,         8.752826, -0.009503,         0.000230, -0.004637,         0.009313
        0.022220,         0.519373,        -0.815025,         8.762884, -0.008854,         0.000230, -0.004312,         0.009638
        0.033330,         1.973619,        -0.815349,         8.752826, -0.009503,         0.000230, -0.004312,         0.009638
        0.042218,        14.230830,        -0.815025,         8.752502, -0.009179,        -0.000095, -0.004637,         0.009638
        0.055550,       145.736176,        -0.815674,         8.753151, -0.009179,         0.000230, -0.004312,         0.009638
        0.066660,       352.239014,        -0.815025,         8.752826, -0.009179,        -0.000095, -0.004312,         0.009962
        0.077770,       613.172241,        -0.814701,         8.762560, -0.009179,         0.000554, -0.003988,         0.009962
        0.088880,       928.071960,        -0.815025,         8.752178, -0.009179,         0.000230, -0.003988,         0.009638
        0.102212,      1277.233521,        -0.815025,         8.752502, -0.009179,         0.000230, -0.004312,         0.009962
        0.113322,      1614.100708,        -0.814701,         8.762235, -0.008854,         0.000230, -0.004312,         0.010286
        0.126654,      1891.954712,        -0.815025,         8.752826, -0.009179,         0.000230, -0.004312,         0.009638
        0.137764,      2112.434570,        -0.815025,         8.762235, -0.009179,         0.000554, -0.003988,         0.009962
        0.151096,       184.169800,        -0.815025,         8.763208, -0.009179,         0.000230, -0.003663,         0.009638
        0.164428,        22.540804,        -0.815349,         8.752502, -0.009179,         0.000230, -0.004312,         0.009638
        0.175538,         5.297608,        -0.815025,         8.762235, -0.008854,         0.000230, -0.003988,         0.009962
        0.188870,         1.973619,        -0.814701,         8.762235, -0.009179,         0.000230, -0.004312,         0.009962
        0.202202,         0.934872,        -0.815025,         8.752826, -0.009503,         0.000230, -0.004637,         0.009638
        0.213312,         0.519373,        -0.814701,         8.762560, -0.008854,        -0.000095, -0.003988,         0.009638
        0.226644,         0.103875,        -0.814376,         8.762560, -0.008854,         0.000230, -0.003663,         0.009962
