Test One

April-02-19,11:08:12 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,11:08:12 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         0.207749,        -0.813727,         8.727521, -0.010476,         0.000878, -0.004312,         0.010286
        0.013332,         0.077906,        -0.813727,         8.728494, -0.010476,         0.000878, -0.004312,         0.010611
        0.022220,         0.077906,        -0.813403,         8.728494, -0.010476,         0.000878, -0.003988,         0.010611
        0.031108,         0.077906,        -0.813727,         8.739849, -0.010801,         0.000878, -0.003663,         0.010611
        0.042218,         0.077906,        -0.813727,         8.728494, -0.010152,         0.000878, -0.004312,         0.010286
        0.051106,         0.908903,        -0.813727,         8.728169, -0.010801,         0.000878, -0.003988,         0.010935
        0.062216,         1.324402,        -0.814052,         8.739525, -0.010476,         0.001203, -0.004312,         0.010935
        0.073326,         1.116653,        -0.813727,         8.739525, -0.010801,         0.000878, -0.003988,         0.010286
        0.084436,         1.324402,        -0.814052,         8.727845, -0.010801,         0.000878, -0.003988,         0.010611
        0.095546,        42.874271,        -0.813727,         8.728494, -0.010476,         0.000878, -0.004312,         0.010286
        0.106656,       133.868484,        -0.814052,         8.728169, -0.010152,         0.001203, -0.004312,         0.010286
        0.119988,       241.067154,        -0.814052,         8.728169, -0.010476,         0.000554, -0.003988,         0.010286
        0.131098,       356.160309,        -0.814052,         8.727845, -0.010152,         0.000878, -0.004312,         0.010286
        0.142208,       469.799194,        -0.813727,         8.739200, -0.010152,         0.001203, -0.003988,         0.010611
        0.153318,       580.529602,        -0.813727,         8.739200, -0.010476,         0.000878, -0.003663,         0.010611
        0.164428,       684.404297,        -0.813727,         8.738876, -0.010476,         0.000878, -0.003663,         0.010611
        0.175538,        69.050690,        -0.814052,         8.737902, -0.010152,         0.000878, -0.003663,         0.010611
        0.186648,         6.725885,        -0.813727,         8.737254, -0.010152,         0.000878, -0.004312,         0.010935
        0.197758,        -0.129843,        -0.814052,         8.726872, -0.010152,         0.001203, -0.004312,         0.010611
        0.208868,        -0.415499,        -0.814052,         8.726223, -0.010152,         0.000878, -0.003988,         0.010611
        0.222200,        -0.623248,        -0.814376,         8.726872, -0.010152,         0.001527, -0.004312,         0.010611
        0.228866,        -0.623248,        -0.814052,         8.727521, -0.010801,         0.001203, -0.004312,         0.010935
