Test One

April-01-19,5:10:40 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:10:40 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -0.441467,        -0.812105,         8.726223, -0.009503,         0.000554, -0.004312,         0.010286
        0.011110,        -0.025969,        -0.812105,         8.726872, -0.009503,         0.000554, -0.004312,         0.010286
        0.019998,         0.519373,        -0.812105,         8.726547, -0.009503,         0.000230, -0.004312,         0.010286
        0.028886,         2.181368,        -0.812430,         8.725574, -0.009503,         0.000230, -0.003988,         0.010611
        0.039996,         7.998350,        -0.812105,         8.725574, -0.009827,         0.000230, -0.004312,         0.009962
        0.051106,       114.366020,        -0.812105,         8.725574, -0.009503,         0.000554, -0.004312,         0.009962
        0.064438,       241.300873,        -0.812430,         8.726547, -0.009827,         0.000554, -0.004637,         0.009962
        0.075548,       403.345367,        -0.812430,         8.736605, -0.009503,         0.000554, -0.003663,         0.010286
        0.088880,       579.101318,        -0.812430,         8.726223, -0.009503,         0.000554, -0.004312,         0.009962
        0.099990,       750.494507,        -0.812105,         8.736605, -0.009503,         0.000878, -0.004312,         0.009962
        0.113322,       811.889648,        -0.812430,         8.725898, -0.009503,         0.000878, -0.004312,         0.009962
        0.124432,       808.611145,        -0.812105,         8.736605, -0.009179,         0.000230, -0.003663,         0.010286
        0.137764,       852.871033,        -0.812105,         8.737254, -0.009827,         0.000878, -0.004312,         0.010286
        0.148874,       636.024658,        -0.812430,         8.726223, -0.009503,         0.000554, -0.004312,         0.009962
        0.162206,       770.853943,        -0.812105,         8.737254, -0.009503,        -0.000095, -0.004637,         0.010286
        0.175538,       948.767578,        -0.812105,         8.726872, -0.009503,         0.000878, -0.004637,         0.009962
        0.188870,       163.602615,        -0.811781,         8.727196, -0.009827,         0.000230, -0.004312,         0.010286
        0.199980,        22.540804,        -0.812105,         8.726547, -0.009179,         0.000230, -0.004312,         0.009962
        0.213312,         8.621598,        -0.811781,         8.737578, -0.009503,         0.000230, -0.004312,         0.010286
        0.226644,         6.959603,        -0.812105,         8.738227, -0.009503,         0.000554, -0.003988,         0.010286
        0.239976,         6.544105,        -0.812105,         8.726547, -0.009503,         0.000554, -0.004637,         0.009962
        0.251086,         6.544105,        -0.812105,         8.725898, -0.009503,         0.000878, -0.004637,         0.009962
        0.264418,         6.544105,        -0.812105,         8.736280, -0.009503,         0.000554, -0.004312,         0.009962
