Test One

April-01-19,3:07:01 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,3:07:01 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         0.311624,        -0.813079,         8.746338, -0.009503,        -0.000095, -0.004637,         0.009313
        0.011110,         0.934872,        -0.813727,         8.746662, -0.009827,         0.000554, -0.004961,         0.009313
        0.019998,         1.350371,        -0.813079,         8.756395, -0.009503,         0.000230, -0.004637,         0.009962
        0.031108,         3.220115,        -0.813403,         8.746662, -0.010152,         0.000554, -0.004637,         0.009638
        0.042218,         3.843363,        -0.813079,         8.756395, -0.009827,         0.000554, -0.004312,         0.009313
        0.053328,         4.466611,        -0.813403,         8.745689, -0.009827,         0.000230, -0.004637,         0.009638
        0.066660,         5.089859,        -0.812754,         8.755746, -0.009503,         0.000554, -0.004312,         0.009962
        0.079992,       164.433609,        -0.813403,         8.756071, -0.009827,         0.000554, -0.003988,         0.009962
        0.093324,       622.520935,        -0.813079,         8.756395, -0.009503,         0.000230, -0.004312,         0.009638
        0.106656,      1122.016479,        -0.813403,         8.745364, -0.009827,         0.000554, -0.004312,         0.009962
        0.117766,      1610.514893,        -0.813727,         8.745689, -0.009827,         0.000554, -0.004637,         0.009962
        0.131098,      2048.196289,        -0.813403,         8.745040, -0.009503,         0.000230, -0.004312,         0.009638
        0.144430,      2336.705322,        -0.813403,         8.746662, -0.009827,         0.000554, -0.004637,         0.009638
        0.157762,      2552.267578,        -0.813403,         8.745364, -0.009827,         0.000230, -0.004637,         0.009962
        0.173316,       448.634735,        -0.813727,         8.746338, -0.009503,         0.000230, -0.004637,         0.009638
        0.186648,        55.365204,        -0.813403,         8.746338, -0.009827,         0.000230, -0.004637,         0.009638
        0.199980,        14.854078,        -0.813727,         8.746662, -0.009503,         0.000230, -0.004637,         0.009638
        0.213312,         9.037097,        -0.813079,         8.755746, -0.009827,        -0.000095, -0.004312,         0.009638
        0.226644,         7.375102,        -0.813727,         8.755746, -0.009827,         0.000230, -0.004312,         0.009962
        0.239976,         6.544105,        -0.813403,         8.746013, -0.009827,         0.000230, -0.004312,         0.009962
        0.255530,         6.128606,        -0.813403,         8.746338, -0.009827,         0.000554, -0.004637,         0.009638
        0.268862,         5.920856,        -0.813727,         8.756395, -0.009827,         0.000554, -0.004312,         0.010286
