Test One

April-02-19,11:20:29 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,11:20:29 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,        -0.701154,        -0.812754,         8.739525, -0.009503,         0.000878, -0.003663,         0.010611
        0.011110,        -0.701154,        -0.813079,         8.739525, -0.009827,         0.000878, -0.003988,         0.010935
        0.019998,        -0.285655,        -0.813079,         8.727845, -0.009827,         0.000878, -0.004312,         0.010286
        0.028886,        -0.285655,        -0.813079,         8.727845, -0.010152,         0.000878, -0.003988,         0.010611
        0.037774,        -0.285655,        -0.813079,         8.739525, -0.009827,         0.001203, -0.003663,         0.010611
        0.046662,        -0.077906,        -0.813079,         8.727196, -0.010152,         0.000878, -0.004312,         0.010286
        0.057772,         0.830997,        -0.813079,         8.738876, -0.010152,         0.000878, -0.003988,         0.010611
        0.068882,         1.454245,        -0.813403,         8.727845, -0.010152,         0.000878, -0.004312,         0.010286
        0.077770,         1.869744,        -0.813079,         8.738227, -0.009827,         0.000878, -0.003988,         0.010611
        0.088880,         2.077493,        -0.813403,         8.738551, -0.009503,         0.000878, -0.003988,         0.010611
        0.099990,        36.563885,        -0.813727,         8.726872, -0.010152,         0.000878, -0.004312,         0.010286
        0.108878,       118.209381,        -0.813079,         8.737902, -0.010152,         0.000878, -0.003988,         0.010611
        0.119988,       207.333847,        -0.813079,         8.738227, -0.009827,         0.000878, -0.003988,         0.010286
        0.131098,       313.078278,        -0.813727,         8.727845, -0.010152,         0.000878, -0.004312,         0.010286
        0.139986,       422.146698,        -0.813403,         8.727196, -0.009827,         0.000878, -0.004312,         0.010611
        0.151096,       525.398132,        -0.813079,         8.738876, -0.009827,         0.000230, -0.003988,         0.010935
        0.162206,       624.079041,        -0.813403,         8.727196, -0.010152,         0.001203, -0.004312,         0.010611
        0.171094,       718.604980,        -0.813079,         8.726872, -0.010152,         0.000554, -0.004312,         0.009962
        0.182204,       109.068413,        -0.813403,         8.738227, -0.009503,         0.000554, -0.003663,         0.010286
        0.193314,        13.711457,        -0.813079,         8.738551, -0.009503,         0.000554, -0.003988,         0.010286
        0.204424,         3.531739,        -0.813079,         8.727845, -0.009827,         0.000878, -0.004312,         0.010286
        0.206646,         1.454245,        -0.813403,         8.728169, -0.009827,         0.000878, -0.004312,         0.010611
