Test One

April-01-19,3:14:14 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,3:14:14 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         1.454245,        -0.813727,         8.715192, -0.009503,         0.000554, -0.003988,         0.009962
        0.011110,        25.760920,        -0.813079,         8.718436, -0.009827,         0.000878, -0.003988,         0.010286
        0.019998,        60.662811,        -0.812754,         8.725250, -0.009827,         0.000554, -0.004312,         0.010286
        0.028886,       116.547386,        -0.813079,         8.715841, -0.009827,         0.000554, -0.003988,         0.009962
        0.039996,       198.400635,        -0.812754,         8.725250, -0.009503,         0.000554, -0.003663,         0.010286
        0.051106,       276.306641,        -0.813079,         8.714219, -0.009827,         0.000230, -0.004312,         0.010286
        0.059994,       343.201935,        -0.813403,         8.714219, -0.009827,         0.000554, -0.003988,         0.010286
        0.071104,       401.579498,        -0.813403,         8.714219, -0.009503,         0.000554, -0.003988,         0.010286
        0.082214,       454.555573,        -0.813079,         8.713894, -0.009827,         0.000554, -0.003663,         0.010286
        0.093324,       505.661926,        -0.813403,         8.713245, -0.009827,         0.000554, -0.003988,         0.010286
        0.104434,       574.219238,        -0.813403,         8.713245, -0.009503,         0.000878, -0.003988,         0.010286
        0.115544,       650.255493,        -0.812754,         8.723627, -0.009827,         0.000554, -0.004312,         0.010286
        0.126654,       726.914978,        -0.813079,         8.724276, -0.009503,         0.000554, -0.003988,         0.010611
        0.137764,       807.074341,        -0.813079,         8.723627, -0.009503,         0.000554, -0.003988,         0.010286
        0.148874,       887.397888,        -0.813403,         8.712597, -0.009827,         0.000878, -0.003988,         0.010286
        0.159984,       967.721436,        -0.813727,         8.712272, -0.010152,         0.000230, -0.004312,         0.009962
        0.171094,      1041.488037,        -0.814052,         8.712597, -0.009827,         0.000554, -0.004312,         0.009962
        0.184426,      1109.517090,        -0.813403,         8.712921, -0.009503,         0.000878, -0.004312,         0.010611
        0.195536,      1180.005127,        -0.813727,         8.712921, -0.009827,         0.000878, -0.004312,         0.010286
        0.206646,       129.012344,        -0.813403,         8.723627, -0.009503,         0.000878, -0.003339,         0.010286
        0.217756,        19.112940,        -0.813079,         8.723627, -0.009503,         0.000878, -0.003988,         0.010611
        0.228866,         6.855729,        -0.813403,         8.712272, -0.009827,         0.000554, -0.003988,         0.010286
        0.242198,         4.570486,        -0.814376,         8.713245, -0.009827,         0.000554, -0.004312,         0.009962
        0.253308,         3.531739,        -0.813079,         8.722978, -0.009827,         0.000230, -0.003988,         0.010286
        0.264418,         2.700742,        -0.813403,         8.722978, -0.009827,         0.000554, -0.003663,         0.010286
        0.266640,         2.077493,        -0.813403,         8.711623, -0.009827,         0.000554, -0.003988,         0.009962
