Test One

April-02-19,9:52:53 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,9:52:53 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         0.571311,        -0.810808,         8.730440, -0.009827,         0.000554, -0.003988,         0.010935
        0.013332,         0.779060,        -0.810808,         8.720059, -0.009827,         0.000554, -0.004312,         0.010935
        0.024442,         1.610057,        -0.810808,         8.720059, -0.009827,         0.000554, -0.004312,         0.010286
        0.035552,         1.610057,        -0.810483,         8.730440, -0.009827,         0.000878, -0.003988,         0.010611
        0.048884,         1.194559,        -0.810808,         8.731414, -0.009503,         0.000554, -0.003663,         0.010286
        0.062216,        52.924149,        -0.811132,         8.730765, -0.009827,         0.000878, -0.003988,         0.010935
        0.075548,       294.536652,        -0.810159,         8.731414, -0.009503,         0.000878, -0.003988,         0.010611
        0.088880,       623.196106,        -0.810159,         8.730765, -0.009503,         0.000878, -0.004312,         0.010611
        0.102212,      1015.977051,        -0.810808,         8.721032, -0.009827,         0.000878, -0.004312,         0.010611
        0.117766,      1420.053711,        -0.810483,         8.732712, -0.009827,         0.000878, -0.004312,         0.010935
        0.131098,      1814.294922,        -0.810808,         8.732387, -0.009827,         0.000554, -0.003663,         0.010611
        0.146652,      2160.997559,        -0.810808,         8.722654, -0.009827,         0.000878, -0.003988,         0.010935
        0.159984,       806.152222,        -0.810483,         8.727196, -0.010152,         0.000554, -0.003988,         0.010286
        0.175538,        91.150024,        -0.810483,         8.733360, -0.009827,         0.001203, -0.003988,         0.010611
        0.191092,         7.842538,        -0.810808,         8.723303, -0.009503,         0.000554, -0.004312,         0.010611
        0.204424,        -4.284831,        -0.810808,         8.720707, -0.009827,         0.000878, -0.004312,         0.010611
        0.219978,        -6.985572,        -0.811132,         8.731414, -0.009503,         0.000878, -0.003663,         0.010611
        0.228866,        -8.439817,        -0.811132,         8.721681, -0.009503,         0.000878, -0.003988,         0.010611
