Test One

April-01-19,5:51:01 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:51:01 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -0.025969,        -0.814052,         8.748609, -0.009179,         0.000230, -0.003988,         0.009962
        0.008888,         0.597279,        -0.814376,         8.738551, -0.009179,         0.000230, -0.004312,         0.009638
        0.015554,         1.012778,        -0.814701,         8.737578, -0.008854,         0.000230, -0.003988,         0.009638
        0.026664,         1.428277,        -0.814376,         8.747960, -0.008854,         0.000230, -0.003988,         0.009962
        0.037774,         1.843776,        -0.814052,         8.748609, -0.008854,         0.000230, -0.003988,         0.009962
        0.048884,         2.674773,        -0.814052,         8.738227, -0.009179,         0.000230, -0.004312,         0.009962
        0.062216,         4.544517,        -0.814052,         8.748933, -0.009179,         0.000230, -0.003988,         0.010286
        0.075548,        35.291420,        -0.814376,         8.737902, -0.009503,        -0.000095, -0.003988,         0.009962
        0.086658,        96.992981,        -0.815025,         8.738227, -0.009503,         0.000230, -0.004312,         0.009638
        0.099990,       213.332611,        -0.814052,         8.748609, -0.008854,         0.000554, -0.003988,         0.009962
        0.113322,       427.106689,        -0.814701,         8.748609, -0.009179,         0.000230, -0.003988,         0.009962
        0.126654,       696.142090,        -0.814701,         8.748609, -0.008854,         0.000230, -0.003663,         0.009638
        0.139986,       986.060608,        -0.814701,         8.748609, -0.009179,         0.000230, -0.004312,         0.009962
        0.153318,      1261.455688,        -0.814701,         8.738227, -0.008854,         0.000230, -0.003988,         0.009638
        0.166650,      1464.723511,        -0.814701,         8.737902, -0.008854,         0.000230, -0.003988,         0.009962
        0.177760,      1323.747437,        -0.815025,         8.736929, -0.009179,        -0.000095, -0.004312,         0.009962
        0.191092,       833.609802,        -0.815025,         8.736929, -0.009503,         0.000230, -0.004312,         0.009962
        0.204424,      1112.283325,        -0.814701,         8.736929, -0.009179,         0.000230, -0.004637,         0.009962
        0.217756,       643.581543,        -0.814376,         8.736605, -0.009179,         0.000554, -0.004312,         0.009962
        0.231088,       884.426758,        -0.814701,         8.736605, -0.008854,         0.000230, -0.004312,         0.009962
        0.246642,       760.336670,        -0.814701,         8.736929, -0.008854,         0.000230, -0.004312,         0.009962
        0.257752,       709.645813,        -0.814376,         8.736280, -0.009179,         0.000230, -0.004312,         0.009962
        0.271084,       694.272339,        -0.814376,         8.747311, -0.008854,         0.000230, -0.003988,         0.010286
        0.284416,       704.452087,        -0.814701,         8.736605, -0.008854,        -0.000095, -0.004312,         0.009962
        0.295526,       621.352356,        -0.814376,         8.746987, -0.008854,         0.000230, -0.003988,         0.010286
        0.308858,       621.560120,        -0.814701,         8.736929, -0.008854,         0.000230, -0.004637,         0.009962
        0.319968,       621.144592,        -0.814701,         8.746662, -0.008854,         0.000554, -0.003988,         0.009962
        0.333300,       579.802490,        -0.815025,         8.736280, -0.009503,         0.000230, -0.003988,         0.009313
        0.344410,       548.224548,        -0.814701,         8.747636, -0.008854,         0.000230, -0.003663,         0.010286
        0.355520,       507.505707,        -0.815349,         8.736605, -0.009179,         0.000554, -0.003988,         0.009962
        0.368852,       472.811554,        -0.815025,         8.747636, -0.008854,         0.000230, -0.003988,         0.009962
