Test One

April-01-19,4:44:08 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,4:44:08 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         0.207749,        -0.812754,         8.608129, -0.009503,         0.001203, -0.003339,         0.010935
        0.011110,         1.246496,        -0.812754,         8.607480, -0.009503,         0.000554, -0.003339,         0.010935
        0.022220,         1.661995,        -0.812430,         8.620782, -0.009179,         0.001203, -0.003015,         0.011260
        0.035552,         2.492992,        -0.813079,         8.608453, -0.009503,         0.001203, -0.003339,         0.011260
        0.046662,         3.116240,        -0.812754,         8.621430, -0.009179,         0.001203, -0.003015,         0.011260
        0.059994,         3.531739,        -0.812754,         8.620782, -0.009503,         0.000878, -0.003339,         0.011584
        0.073326,         4.985984,        -0.812754,         8.621106, -0.009503,         0.000878, -0.003015,         0.011584
        0.086658,         5.816982,        -0.812105,         8.620457, -0.009179,         0.000878, -0.002690,         0.010935
        0.099990,         6.232481,        -0.812105,         8.607155, -0.009179,         0.000878, -0.003015,         0.010611
        0.115544,         6.647979,        -0.812430,         8.607804, -0.009503,         0.000878, -0.003663,         0.010935
        0.128876,         6.855729,        -0.812430,         8.619159, -0.009503,         0.000878, -0.003339,         0.011260
        0.142208,         7.063478,        -0.812105,         8.606507, -0.009503,         0.000554, -0.003015,         0.011260
        0.157762,         7.271227,        -0.812105,         8.619808, -0.009503,         0.001527, -0.003015,         0.011584
        0.171094,         8.102224,        -0.812430,         8.605858, -0.009503,         0.000878, -0.003339,         0.011260
        0.186648,         9.764219,        -0.812105,         8.619808, -0.009503,         0.000878, -0.003015,         0.011260
        0.199980,        35.109642,        -0.812105,         8.619484, -0.009179,         0.000878, -0.003015,         0.010935
        0.215534,       159.966995,        -0.812105,         8.607480, -0.009503,         0.000554, -0.003339,         0.011260
        0.228866,       296.458313,        -0.812105,         8.621106, -0.008854,         0.001527, -0.003015,         0.011260
        0.244420,       429.833405,        -0.812105,         8.609102, -0.009503,         0.000878, -0.003339,         0.010935
        0.257752,       563.208496,        -0.811781,         8.620782, -0.008854,         0.001203, -0.003015,         0.011260
        0.273306,        93.279457,        -0.812105,         8.609102, -0.009179,         0.000878, -0.003339,         0.011260
        0.286638,        18.074194,        -0.811781,         8.620782, -0.009179,         0.000878, -0.002690,         0.011260
        0.302192,        10.595217,        -0.812105,         8.608129, -0.009179,         0.000878, -0.003663,         0.011260
        0.315524,         9.556470,        -0.811781,         8.619808, -0.009503,         0.000878, -0.003015,         0.010935
        0.331078,         9.348721,        -0.812105,         8.607480, -0.009179,         0.000878, -0.003015,         0.011260
        0.344410,         9.140971,        -0.812430,         8.619159, -0.009503,         0.000878, -0.003015,         0.011260
        0.359964,         8.933222,        -0.812105,         8.611049, -0.009179,         0.000878, -0.003015,         0.011260
        0.373296,         8.725472,        -0.812430,         8.605858, -0.009503,         0.000878, -0.003015,         0.010935
