Test One

April-01-19,6:14:45 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,6:14:45 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         0.129843,        -0.815349,         8.769048, -0.008854,         0.000554, -0.004312,         0.009313
        0.006666,         0.337593,        -0.815674,         8.759315, -0.009179,         0.000230, -0.004637,         0.009313
        0.015554,         0.545342,        -0.815025,         8.769048, -0.009179,         0.000230, -0.004312,         0.009313
        0.024442,         1.168590,        -0.815349,         8.759964, -0.009179,        -0.000095, -0.004637,         0.009313
        0.035552,         2.415086,        -0.815349,         8.769373, -0.009179,         0.000230, -0.003988,         0.009962
        0.046662,       132.881683,        -0.815349,         8.769373, -0.009179,         0.000230, -0.004312,         0.009638
        0.057772,       450.530426,        -0.815349,         8.769373, -0.009503,         0.000230, -0.003988,         0.009962
        0.068882,       767.348206,        -0.815674,         8.770022, -0.008854,         0.000554, -0.004312,         0.009962
        0.079992,      1147.732300,        -0.815674,         8.760937, -0.009179,         0.000230, -0.004637,         0.009313
        0.093324,      1479.681763,        -0.815349,         8.760613, -0.009503,         0.000230, -0.004637,         0.009638
        0.104434,      1762.453369,        -0.815674,         8.770022, -0.009503,         0.000230, -0.003988,         0.009638
        0.117766,      1391.161865,        -0.815674,         8.760937, -0.009503,         0.000230, -0.004637,         0.009313
        0.128876,       132.050674,        -0.815349,         8.770022, -0.009503,        -0.000095, -0.004312,         0.009638
        0.142208,        13.841301,        -0.815998,         8.765804, -0.009179,         0.000230, -0.004637,         0.009313
        0.153318,         0.753091,        -0.815674,         8.760613, -0.009503,        -0.000095, -0.004312,         0.009638
