Test One

April-01-19,5:45:09 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:45:09 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         0.701154,        -0.815025,         8.737578, -0.009179,         0.000230, -0.004312,         0.009962
        0.011110,         0.908903,        -0.815025,         8.737902, -0.009503,         0.000554, -0.004637,         0.009962
        0.022220,         0.493405,        -0.814376,         8.748609, -0.008854,         0.000230, -0.003988,         0.010286
        0.033330,         2.570898,        -0.815025,         8.737902, -0.009503,         0.000230, -0.004312,         0.009962
        0.046662,        66.349953,        -0.814376,         8.748933, -0.009179,         0.000230, -0.003988,         0.009962
        0.059994,       291.134735,        -0.814376,         8.749582, -0.009503,        -0.000095, -0.003988,         0.009962
        0.073326,       574.920349,        -0.814376,         8.749907, -0.009179,         0.000554, -0.004312,         0.009638
        0.086658,       908.093506,        -0.814376,         8.739200, -0.009179,         0.000230, -0.004312,         0.009638
        0.102212,      1225.289551,        -0.814701,         8.739200, -0.009179,         0.000554, -0.004312,         0.009638
        0.115544,      1452.326660,        -0.814052,         8.748933, -0.009179,         0.000554, -0.004312,         0.009962
        0.131098,       549.367187,        -0.814052,         8.738551, -0.008854,         0.000230, -0.004312,         0.009962
        0.144430,        52.015244,        -0.814376,         8.748284, -0.009179,         0.000554, -0.003988,         0.009962
        0.159984,         4.025144,        -0.813727,         8.746338, -0.009179,         0.000878, -0.003663,         0.010286
        0.173316,        -2.129431,        -0.814376,         8.737254, -0.009503,         0.000230, -0.004637,         0.009962
        0.188870,        -3.583676,        -0.814701,         8.748284, -0.009503,         0.000554, -0.004312,         0.010286
