Test One

April-01-19,4:27:28 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,4:27:28 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,        -0.259687,        -0.812430,         8.696050, -0.009179,         0.000554, -0.004312,         0.009962
        0.013332,         0.233718,        -0.812105,         8.685668, -0.009503,         0.000554, -0.003663,         0.010611
        0.022220,         0.649217,        -0.812105,         8.695726, -0.009827,         0.000878, -0.003663,         0.010611
        0.033330,         1.064715,        -0.812105,         8.696050, -0.009503,         0.000878, -0.003663,         0.010935
        0.046662,         1.480214,        -0.812430,         8.685993, -0.009827,         0.000554, -0.003988,         0.010286
        0.057772,         2.103462,        -0.812430,         8.695726, -0.009503,         0.000878, -0.003988,         0.010935
        0.071104,         2.934460,        -0.812105,         8.696050, -0.009503,         0.000878, -0.003663,         0.010611
        0.084436,         3.973206,        -0.812754,         8.685668, -0.009503,         0.000554, -0.004312,         0.010611
        0.097768,         4.388705,        -0.812430,         8.685993, -0.009827,         0.000878, -0.003663,         0.010286
        0.111100,         4.804204,        -0.812754,         8.685668, -0.009827,         0.000230, -0.003663,         0.010286
        0.124432,         5.011953,        -0.812754,         8.685993, -0.009503,         0.000230, -0.003663,         0.010611
        0.137764,         5.219702,        -0.812754,         8.686642, -0.009503,         0.000554, -0.003663,         0.010286
        0.151096,         5.427452,        -0.812430,         8.688913, -0.009503,         0.000878, -0.003663,         0.010611
        0.164428,         5.842950,        -0.812754,         8.697997, -0.009179,         0.000878, -0.003663,         0.010286
        0.177760,         6.881697,        -0.812754,         8.697673, -0.009827,         0.000554, -0.003663,         0.010611
        0.191092,         9.582438,        -0.813079,         8.697673, -0.009503,         0.000554, -0.003663,         0.010611
        0.204424,       106.601387,        -0.812430,         8.697348, -0.009503,         0.000554, -0.003988,         0.010611
        0.217756,       332.009430,        -0.812430,         8.697024, -0.009503,         0.000878, -0.003663,         0.010611
        0.231088,       595.020142,        -0.812430,         8.696375, -0.009827,         0.000878, -0.003988,         0.010611
        0.244420,       855.739746,        -0.812430,         8.696375, -0.009503,         0.000554, -0.003663,         0.009962
        0.257752,      1101.628174,        -0.813079,         8.685020, -0.009179,         0.000554, -0.003663,         0.010286
        0.271084,       341.565918,        -0.812754,         8.684695, -0.009503,         0.000878, -0.003988,         0.010286
        0.286638,        39.913845,        -0.813079,         8.685020, -0.009503,         0.000878, -0.004312,         0.010286
        0.299970,        11.452183,        -0.812754,         8.695402, -0.009503,         0.000554, -0.003663,         0.010611
        0.313302,         7.712695,        -0.812754,         8.695077, -0.009827,         0.000878, -0.003988,         0.010286
        0.326634,         6.881697,        -0.812430,         8.695402, -0.009179,         0.000554, -0.003663,         0.010611
        0.337744,         6.466198,        -0.812754,         8.695402, -0.009179,         0.000554, -0.003663,         0.010286
        0.342188,         5.219702,        -0.812754,         8.697673, -0.009503,         0.000554, -0.003663,         0.010286
        0.348854,         5.427452,        -0.812430,         8.686642, -0.009827,         0.000878, -0.003663,         0.010286
        0.355520,         5.427452,        -0.811456,         8.696699, -0.009503,         0.000878, -0.003988,         0.010286
        0.362186,         5.427452,        -0.812754,         8.685668, -0.009503,         0.000878, -0.004312,         0.010286
        0.371074,         5.219702,        -0.813079,         8.685344, -0.009503,         0.000554, -0.004312,         0.009962
        0.382184,         5.011953,        -0.812754,         8.685344, -0.009503,         0.000230, -0.004312,         0.009962
        0.384406,         4.596455,        -0.813079,         8.684695, -0.010152,         0.000554, -0.004312,         0.009962
