Test One

April-01-19,5:00:24 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:00:24 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,         0.467436,        -0.813403,         8.731414, -0.009503,         0.000554, -0.003988,         0.009962
        0.013332,        21.242371,        -0.813403,         8.742445, -0.009503,         0.000554, -0.004312,         0.009962
        0.022220,        99.563873,        -0.813403,         8.742445, -0.009827,         0.001203, -0.003988,         0.010286
        0.033330,       204.477295,        -0.813403,         8.732387, -0.009827,         0.000878, -0.004312,         0.009962
        0.044440,       322.894440,        -0.813403,         8.731738, -0.009827,         0.000554, -0.004312,         0.009962
        0.055550,       442.973541,        -0.813079,         8.732712, -0.009503,         0.000554, -0.003663,         0.010286
        0.066660,       554.119446,        -0.813403,         8.742120, -0.009503,         0.000878, -0.003663,         0.010611
        0.077770,       290.693268,        -0.812754,         8.731738, -0.009503,         0.000554, -0.004312,         0.009962
        0.091102,        25.812857,        -0.812754,         8.742445, -0.009503,         0.000878, -0.003988,         0.010286
        0.102212,         0.467436,        -0.813403,         8.731414, -0.009503,         0.000554, -0.003988,         0.009962
