Test One

April-01-19,5:34:50 PM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

01/04/2019,5:34:50 PM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -0.025969,        -0.812430,         8.741471, -0.009503,         0.000230, -0.004312,         0.010286
        0.008888,         0.571311,        -0.812430,         8.730116, -0.009503,         0.000230, -0.004312,         0.009962
        0.022220,         0.571311,        -0.812430,         8.741471, -0.009179,         0.000554, -0.004312,         0.010286
        0.035552,         0.571311,        -0.812754,         8.740822, -0.009179,         0.000230, -0.003988,         0.010286
        0.051106,         0.155812,        -0.812754,         8.730440, -0.009179,         0.000230, -0.003988,         0.010286
        0.066660,         0.363561,        -0.812105,         8.730440, -0.009503,         0.000230, -0.004312,         0.009962
        0.082214,         7.427039,        -0.812105,         8.740822, -0.009179,        -0.000095, -0.004312,         0.009962
        0.097768,       221.201126,        -0.812754,         8.740498, -0.009179,         0.000230, -0.004312,         0.009962
        0.115544,       542.589355,        -0.812754,         8.730765, -0.009503,         0.000230, -0.003988,         0.009962
        0.131098,       762.711975,        -0.813079,         8.740822, -0.009503,         0.000878, -0.004312,         0.010286
        0.148874,       905.327271,        -0.812754,         8.729792, -0.009503,         0.000230, -0.004312,         0.009962
        0.164428,      1233.178467,        -0.812754,         8.729792, -0.009179,         0.000230, -0.004312,         0.009962
        0.182204,      1520.048340,        -0.812430,         8.741147, -0.008854,         0.000230, -0.003988,         0.010286
        0.199980,       443.492920,        -0.812430,         8.740174, -0.009179,         0.000554, -0.003988,         0.010611
        0.217756,        38.797192,        -0.813079,         8.730116, -0.009503,         0.000554, -0.004312,         0.010286
        0.233310,         0.363561,        -0.813079,         8.730116, -0.009503,         0.000230, -0.004637,         0.009962
        0.251086,        -4.804204,        -0.812754,         8.729792, -0.008854,         0.000230, -0.003663,         0.009962
        0.268862,        -6.466198,        -0.812754,         8.740822, -0.009503,         0.000230, -0.003988,         0.010611
        0.286638,        -7.089447,        -0.812754,         8.741147, -0.009179,         0.000230, -0.003988,         0.010286
