Test One

April-02-19,11:00:23 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,11:00:23 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,        -0.623248,        -0.813079,         8.743742, -0.010801,         0.000878, -0.004637,         0.009962
        0.006666,        -0.415499,        -0.813403,         8.743093, -0.010801,         0.000554, -0.004961,         0.009638
        0.015554,        -0.415499,        -0.813727,         8.742769, -0.010476,         0.000554, -0.004312,         0.010286
        0.024442,        -0.415499,        -0.813079,         8.732712, -0.010476,         0.000554, -0.004637,         0.010286
        0.035552,        -0.415499,        -0.813079,         8.744067, -0.010476,         0.000878, -0.004312,         0.010286
        0.046662,         1.272465,        -0.813079,         8.744067, -0.010801,         0.000554, -0.004637,         0.010286
        0.057772,         1.687963,        -0.813403,         8.744391, -0.010801,         0.000878, -0.004312,         0.010286
        0.068882,         1.895713,        -0.813403,         8.733036, -0.010476,         0.000878, -0.004961,         0.010286
        0.082214,        37.628601,        -0.813079,         8.744391, -0.010152,         0.000554, -0.004312,         0.010286
        0.093324,       184.715149,        -0.813727,         8.744067, -0.010476,         0.000878, -0.004312,         0.010611
        0.104434,       394.749725,        -0.813403,         8.732712, -0.010476,         0.000878, -0.004312,         0.009962
        0.117766,       623.689514,        -0.813727,         8.743742, -0.010152,         0.000878, -0.004312,         0.010611
        0.128876,       856.764282,        -0.813403,         8.742445, -0.010476,         0.000878, -0.004312,         0.010286
        0.142208,      1082.161987,        -0.813727,         8.732063, -0.010801,         0.000554, -0.004312,         0.009962
        0.153318,      1292.806519,        -0.813403,         8.743742, -0.010152,         0.000878, -0.004312,         0.010286
        0.164428,       997.740356,        -0.813403,         8.743742, -0.010476,         0.000878, -0.004637,         0.010611
        0.177760,       103.900642,        -0.813403,         8.744391, -0.010476,         0.000878, -0.004312,         0.010611
        0.188870,        15.607170,        -0.813727,         8.732712, -0.010152,         0.000878, -0.004961,         0.009962
        0.202202,         5.427452,        -0.813079,         8.744716, -0.010152,         0.000554, -0.004637,         0.009962
        0.213312,         3.765457,        -0.813403,         8.733036, -0.010476,         0.000230, -0.004637,         0.009962
        0.215534,         3.142209,        -0.813403,         8.733685, -0.010152,         0.000878, -0.004637,         0.009962
