Test One

April-02-19,10:28:04 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,10:28:04 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.006666,         0.363561,        -0.812105,         8.741796, -0.009827,         0.000878, -0.003988,         0.010935
        0.015554,        -0.129843,        -0.812105,         8.731414, -0.009827,         0.000554, -0.003988,         0.010611
        0.028886,        -0.337593,        -0.812430,         8.731738, -0.010152,         0.000878, -0.003988,         0.010286
        0.039996,        -0.753091,        -0.812105,         8.731089, -0.010152,         0.000878, -0.004312,         0.010611
        0.055550,        -0.960841,        -0.812105,         8.731738, -0.009503,         0.000878, -0.003988,         0.009962
        0.068882,        -1.376339,        -0.812430,         8.741147, -0.010152,         0.000878, -0.003988,         0.010611
        0.082214,        -1.791838,        -0.812105,         8.730765, -0.010476,         0.000878, -0.003988,         0.010611
        0.097768,        -2.207337,        -0.811781,         8.741147, -0.010152,         0.000878, -0.003663,         0.010611
        0.113322,        -1.376339,        -0.812105,         8.740498, -0.009827,         0.000878, -0.003663,         0.010611
        0.128876,        -1.376339,        -0.812754,         8.731089, -0.009827,         0.000554, -0.003988,         0.010286
        0.142208,        -1.376339,        -0.812105,         8.729792, -0.010152,         0.001203, -0.003988,         0.010611
        0.157762,        -0.545342,        -0.812105,         8.730116, -0.010476,         0.000878, -0.003988,         0.010286
        0.173316,        -0.337593,        -0.812105,         8.738551, -0.010152,         0.000878, -0.003988,         0.010286
        0.188870,         0.155812,        -0.812105,         8.738227, -0.009827,         0.000554, -0.003988,         0.010611
        0.204424,         0.571311,        -0.812105,         8.738551, -0.009503,         0.000878, -0.003663,         0.010611
        0.219978,         0.571311,        -0.812105,         8.738227, -0.009827,         0.000554, -0.003988,         0.010286
        0.235532,       159.291809,        -0.812105,         8.738227, -0.010152,         0.000878, -0.003988,         0.010611
        0.251086,       506.440979,        -0.812105,         8.738227, -0.009503,         0.000878, -0.003988,         0.010611
        0.266640,       894.262268,        -0.812105,         8.731089, -0.010152,         0.000878, -0.003663,         0.010935
        0.282194,      1280.307129,        -0.812754,         8.725250, -0.009827,         0.000878, -0.004312,         0.010611
        0.295526,      1386.858765,        -0.812430,         8.725574, -0.010152,         0.000554, -0.003663,         0.010286
        0.311080,      1255.718262,        -0.812105,         8.735631, -0.009827,         0.000878, -0.003988,         0.010611
        0.326634,      1131.954468,        -0.811781,         8.735956, -0.010152,         0.000878, -0.003663,         0.010286
        0.342188,      1068.023437,        -0.811781,         8.736605, -0.009827,         0.000878, -0.003988,         0.010286
        0.357742,      1004.912109,        -0.812430,         8.726223, -0.010152,         0.000878, -0.003988,         0.010611
        0.373296,       970.487671,        -0.812430,         8.726547, -0.010152,         0.000878, -0.004637,         0.010286
        0.386628,       919.670776,        -0.812105,         8.726872, -0.010476,         0.000554, -0.004312,         0.010611
        0.402182,       877.050110,        -0.812105,         8.736929, -0.010152,         0.001203, -0.003988,         0.010611
        0.417736,       831.150879,        -0.811781,         8.737578, -0.010152,         0.001203, -0.004312,         0.010935
        0.426624,       768.039551,        -0.811781,         8.739200, -0.009827,         0.000878, -0.003988,         0.010611
