Test One

April-02-19,10:12:40 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,10:12:40 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.002222,         0.103875,        -0.811456,         8.736605, -0.009827,         0.000554, -0.003988,         0.010286
        0.008888,         0.519373,        -0.811456,         8.736280, -0.010152,         0.000878, -0.004312,         0.010611
        0.017776,         0.727123,        -0.811132,         8.735956, -0.010152,         0.000878, -0.003663,         0.010611
        0.028886,         1.142621,        -0.811456,         8.725574, -0.010476,         0.000878, -0.004312,         0.010611
        0.042218,         1.765869,        -0.811456,         8.735631, -0.009827,         0.000878, -0.003988,         0.010935
        0.055550,         2.389117,        -0.811456,         8.735956, -0.009827,         0.000878, -0.003988,         0.010611
        0.068882,         2.804616,        -0.811456,         8.725898, -0.010152,         0.000878, -0.004312,         0.010611
        0.084436,         3.012366,        -0.811456,         8.726872, -0.010152,         0.000554, -0.004312,         0.010611
        0.097768,        54.741955,        -0.811456,         8.735631, -0.010152,         0.000554, -0.003988,         0.010611
        0.113322,       252.727081,        -0.811456,         8.725250, -0.009827,         0.000878, -0.003988,         0.010286
        0.126654,       556.041138,        -0.811132,         8.736605, -0.010152,         0.000878, -0.003988,         0.010611
        0.142208,       871.005310,        -0.811456,         8.725898, -0.010152,         0.000878, -0.004312,         0.010286
        0.155540,      1205.413574,        -0.811132,         8.736605, -0.009827,         0.001203, -0.004312,         0.010611
        0.171094,      1551.296753,        -0.811456,         8.734334, -0.009827,         0.000554, -0.004312,         0.010935
        0.184426,      1885.704956,        -0.811456,         8.726872, -0.009827,         0.000878, -0.003988,         0.010611
        0.199980,      1316.063477,        -0.811456,         8.737902, -0.010152,         0.000878, -0.003663,         0.010611
        0.215534,       146.359421,        -0.811456,         8.728169, -0.009827,         0.000878, -0.004312,         0.010611
        0.228866,        23.371801,        -0.811456,         8.728494, -0.009827,         0.000878, -0.003988,         0.010611
        0.244420,         7.375102,        -0.811132,         8.739200, -0.009827,         0.000554, -0.004312,         0.010611
        0.259974,         4.051112,        -0.811132,         8.739849, -0.009827,         0.000878, -0.003988,         0.010611
