Test One

April-02-19,10:33:32 AM

(e.g.) Strength test for 0.5 inch diameter specimen without anealling.

02/04/2019,10:33:32 AM
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
        0.004444,        -0.129843,        -0.812754,         8.732063, -0.010152,         0.000878, -0.003988,         0.010286
        0.011110,         0.363561,        -0.812754,         8.732387, -0.010152,         0.000554, -0.004312,         0.010286
        0.022220,         0.363561,        -0.812754,         8.733036, -0.010152,         0.000878, -0.003988,         0.010286
        0.035552,        14.906016,        -0.812754,         8.740822, -0.010152,         0.000878, -0.003663,         0.010935
        0.048884,       219.123627,        -0.812754,         8.731089, -0.009827,         0.000878, -0.004312,         0.010611
        0.064438,       540.511902,        -0.812754,         8.741471, -0.009827,         0.000878, -0.003988,         0.010611
        0.079992,       908.708252,        -0.812754,         8.731414, -0.010152,         0.000878, -0.003663,         0.009962
        0.093324,      1309.506348,        -0.812430,         8.731089, -0.009827,         0.000554, -0.003988,         0.010286
        0.108878,       469.461609,        -0.812430,         8.741471, -0.009827,         0.000878, -0.003988,         0.010935
        0.124432,        44.821922,        -0.812430,         8.741796, -0.010152,         0.000878, -0.003988,         0.010611
        0.139986,         0.363561,        -0.812430,         8.742120, -0.009827,         0.000554, -0.003988,         0.010935
        0.155540,        -5.531326,        -0.812430,         8.741796, -0.009503,         0.000878, -0.003988,         0.010611
